timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525132464,53.9492,80.9994,37000,117,496,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132523,53.8866,81.2001,37000,117,494,406A04,LHR,HKG,BAW31,-64,A388,BA31
1525132585,53.8209,81.4089,37000,118,494,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132645,53.7553,81.6157,37000,118,495,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132704,53.6903,81.8178,37000,118,502,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132771,53.6186,82.0391,37000,118,501,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132827,53.5536,82.2385,37000,118,501,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132889,53.4847,82.4478,37000,119,502,406A04,LHR,HKG,BAW31,0,A388,BA31
1525132946,53.4196,82.6438,37000,119,499,406A04,LHR,HKG,BAW31,-64,A388,BA31
1525133010,53.3513,82.8483,37000,119,496,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133076,53.2756,83.0725,37000,119,495,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133137,53.2073,83.2769,37000,119,493,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133191,53.1489,83.4496,37000,119,496,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133252,53.0761,83.6633,37000,119,494,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133314,53.0067,83.8655,37000,119,493,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133376,52.9367,84.0675,37000,119,492,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133441,52.8637,84.2766,37000,120,493,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133499,52.7966,84.467,37000,120,495,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133560,52.7262,84.6654,37000,120,497,406A04,LHR,HKG,BAW31,64,A388,BA31
1525133619,52.6582,84.8557,37000,120,495,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133679,52.5877,85.0512,37000,120,495,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133733,52.5256,85.2221,37000,120,496,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133804,52.4453,85.4565,37000,114,505,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133858,52.3909,85.6463,37000,115,502,406A04,LHR,HKG,BAW31,-64,A388,BA31
1525133922,52.3267,85.8654,37000,115,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525133986,52.2627,86.0824,37000,115,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134048,52.2015,86.2878,37000,115,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134108,52.1396,86.4941,37000,116,500,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134167,52.0802,86.6906,37000,116,501,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134229,52.0177,86.8954,37000,116,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134293,51.952,87.1086,37000,116,500,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134353,51.888,87.3147,37000,116,500,406A04,LHR,HKG,BAW31,64,A388,BA31
1525134411,51.8283,87.5048,37000,116,500,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134473,51.7421,87.6441,37000,135,500,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134533,51.6986,87.9127,37000,117,503,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134598,51.6284,88.1307,37000,117,500,406A04,LHR,HKG,BAW31,64,A388,BA31
1525134659,51.5694,88.3125,37000,117,498,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134718,51.5005,88.5233,37000,117,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134783,51.4339,88.7257,37000,118,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134842,51.3684,88.9229,37000,118,497,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134904,51.3017,89.1226,37000,118,497,406A04,LHR,HKG,BAW31,0,A388,BA31
1525134963,51.2374,89.3129,37000,118,499,406A04,LHR,HKG,BAW31,0,A388,BA31
1525135023,51.1705,89.5099,37000,118,502,406A04,LHR,HKG,BAW31,-64,A388,BA31
1525135083,51.1048,89.7018,37000,118,503,406A04,LHR,HKG,BAW31,-64,A388,BA31
1525135145,51.0217,89.8359,37000,137,503,406A04,LHR,HKG,BAW31,0,A388,BA31
1525135205,50.9349,89.9645,37000,137,503,406A04,LHR,HKG,BAW31,0,A388,BA31
1525135265,50.8467,90.0903,37000,138,503,406A04,LHR,HKG,BAW31,0,A388,BA31
1525135329,50.8273,90.4961,37000,119,507,406A04,LHR,HKG,BAW31,0,A388,BA31
