timestamp,lat,long,alt,hangle,gspeed,icao24,origin,destination,Airliner,vertrate,Aircraft_model,flight_number
1525142747,53.9468,81.0078,39000,117,518,406E11,LHR,HKG,VIR206,64,B789,VS206
1525142807,53.8798,81.2223,38975,117,518,406E11,LHR,HKG,VIR206,0,B789,VS206
1525142870,53.8097,81.4449,39000,118,518,406E11,LHR,HKG,VIR206,64,B789,VS206
1525142930,53.7405,81.6626,38975,118,519,406E11,LHR,HKG,VIR206,64,B789,VS206
1525142990,53.6731,81.8718,38975,118,519,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525143048,53.6046,82.0831,39000,118,518,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143120,53.5253,82.3251,38975,118,519,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143178,53.454,82.5414,39000,119,516,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525143229,53.3946,82.7194,38975,119,516,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143289,53.3268,82.9217,38975,119,519,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143360,53.2428,83.1722,39000,119,518,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143419,53.173,83.3792,38975,119,510,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143480,53.1042,83.5818,39000,119,510,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525143540,53.0334,83.7885,39000,119,511,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143600,52.9633,83.9916,38975,119,511,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143660,52.8916,84.1976,39000,119,517,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143724,52.8142,84.4184,38975,120,518,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525143784,52.7418,84.6223,39000,120,515,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143844,52.6697,84.8241,39000,120,515,406E11,LHR,HKG,VIR206,0,B789,VS206
1525143905,52.5972,85.0256,39000,120,512,406E11,LHR,HKG,VIR206,64,B789,VS206
1525143969,52.5195,85.2398,39000,120,512,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144030,52.4497,85.444,38975,117,515,406E11,LHR,HKG,VIR206,64,B789,VS206
1525144090,52.3884,85.6554,39000,115,518,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144149,52.3262,85.8678,38975,115,518,406E11,LHR,HKG,VIR206,0,B789,VS206
1525144210,52.265,86.0751,38975,115,519,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144274,52.1961,86.3067,38975,115,515,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144335,52.1339,86.5138,39000,116,515,406E11,LHR,HKG,VIR206,64,B789,VS206
1525144395,52.0718,86.7188,38975,116,511,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144459,52.0032,86.9432,39000,116,511,406E11,LHR,HKG,VIR206,64,B789,VS206
1525144520,51.9401,87.148,39000,116,506,406E11,LHR,HKG,VIR206,0,B789,VS206
1525144585,51.8723,87.3656,39000,116,504,406E11,LHR,HKG,VIR206,0,B789,VS206
1525144647,51.8085,87.568,39000,117,507,406E11,LHR,HKG,VIR206,64,B789,VS206
1525144705,51.7443,87.7703,38975,117,509,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144749,51.6982,87.9145,38975,117,509,406E11,LHR,HKG,VIR206,-64,B789,VS206
1525144829,51.61,88.1884,39000,117,512,406E11,LHR,HKG,VIR206,0,B789,VS206
